#SUBMITTED ID	SYMBOL
FBgn0051872	CG31872
FBgn0284235	CG46319
FBgn0285951	mRpS34
FBgn0038042	Scgbeta
FBgn0260657	CG42540
FBgn0083971	CG34135
FBgn0038597	CG8064
FBgn0259728	CG42382
FBgn0034127	CG7848
FBgn0260764	CG42562
FBgn0264979	CG4267
FBgn0040684	CG12589
FBgn0033471	CG12134
FBgn0031054	Ssu72
FBgn0011282	Obp84a
FBgn0030321	CG1703
FBgn0033388	CG8046
FBgn0026737	CG6171
FBgn0037365	CG2104
FBgn0040475	SH3PX1
FBgn0036704	CG6497
FBgn0031115	CG11710
FBgn0040028	CG17450
FBgn0051642	CG31642
FBgn0086384	Mer
FBgn0038422	CG14880
FBgn0262976	lawc
FBgn0036342	CG11279
FBgn0033341	MrgBP
FBgn0003575	su(sable)
FBgn0285944	para
FBgn0037011	Nubp2
FBgn0028371	jbug
FBgn0014018	Rel
FBgn0024361	Tsp2A
FBgn0024897	b6
FBgn0030332	CG9360
FBgn0035827	Srp9
FBgn0284257	Ttd14
FBgn0031520	CG8837
FBgn0033661	CG13185
FBgn0264978	Slh
FBgn0024360	MTPAP
FBgn0039691	IntS11
FBgn0262786	CG43167
FBgn0041092	tai
FBgn0027360	Tim10
FBgn0030966	shop
FBgn0267520	28SrRNA-Psi:CR45860
FBgn0001108	DCTN1-p150
FBgn0085408	Shrm
FBgn0034602	Lapsyn
FBgn0031452	Cwc25
FBgn0066101	LpR1
FBgn0035586	Fitm
FBgn0026566	CG1307
FBgn0040383	CG5254
FBgn0263456	nwk
FBgn0040319	Gclc
FBgn0030003	CG2116
FBgn0036274	CG4328
FBgn0032262	CG7384
FBgn0035069	CG3611
FBgn0025571	SF1
FBgn0062411	Ctr1C
FBgn0051673	CG31673
FBgn0026059	Mhcl
FBgn0015808	ScpX
FBgn0004401	Pep
FBgn0051710	CG31710
FBgn0263983	CG43732
FBgn0005564	Shal
FBgn0036587	CG4950
FBgn0038725	CG6184
FBgn0034590	Magi
FBgn0038585	Non3
FBgn0036278	CrzR
FBgn0036765	CG7408
FBgn0036187	RIOK1
FBgn0028507	CG3793
FBgn0036031	CG6761
FBgn0051380	CG31380
FBgn0035076	Ance-5
FBgn0026872	CG14777
FBgn0035024	CG11414
FBgn0032282	CG7299
FBgn0264357	SNF4Agamma
FBgn0038613	Vha100-4
FBgn0039909	ND-49
FBgn0050035	Tret1-1
FBgn0030995	CG7914
FBgn0283450	Glo1
FBgn0030841	CG8568
FBgn0004512	Mdr49
FBgn0014029	Septin2
FBgn0030206	CG2889
FBgn0032603	CG17928
FBgn0263220	Hk
FBgn0015222	Fer1HCH
FBgn0031410	CG17237
FBgn0034618	CG9485
FBgn0023169	AMPKalpha
FBgn0030001	cyr
FBgn0051694	Ifrd1
FBgn0032447	PICK1
FBgn0013469	klu
FBgn0052707	APC4
FBgn0040236	c11.1
FBgn0004797	mdy
FBgn0037922	CG14711
FBgn0035140	BORCS6
FBgn0263132	Cht6
FBgn0033886	Rpn13
FBgn0037614	TMEM216
FBgn0052483	CG32483
FBgn0035252	CG7970
FBgn0261563	wb
FBgn0031441	CG9962
FBgn0036126	Irbp18
FBgn0052536	CG32536
FBgn0036395	CG17361
FBgn0011566	Smyd3
FBgn0029648	CG3603
FBgn0037876	CG4820
FBgn0005654	Orc3
FBgn0011653	mas
FBgn0030574	sbm
FBgn0264605	CG43954
FBgn0029891	Pink1
FBgn0037912	sea
FBgn0030052	CG12065
FBgn0031145	Ntf-2
FBgn0031894	CG4496
FBgn0035300	CG1139
FBgn0037962	Dnali1
FBgn0035010	CG13579
FBgn0027791	O-fut2
FBgn0000320	eya
FBgn0030858	IntS2
FBgn0038989	CG6937
FBgn0051087	CG31087
FBgn0270924	zf30C
FBgn0016061	side
FBgn0037975	CG3397
FBgn0041111	lilli
FBgn0283536	Vha13
FBgn0085475	CG34446
FBgn0031360	CG31937
FBgn0067629	CG33332
FBgn0031247	CG11562
FBgn0033846	mip120
FBgn0064237	Idgf5
FBgn0032405	firl
FBgn0035006	CG4563
FBgn0034743	RpS16
FBgn0085421	Epac
FBgn0266098	rg
FBgn0263258	chas
FBgn0050011	gem
FBgn0000259	CkIIbeta
FBgn0028743	Dhit
FBgn0003089	pip
FBgn0050094	CG30094
FBgn0036622	Agpat4
FBgn0023514	CG14805
FBgn0039561	mfrn
FBgn0264815	Pde1c
FBgn0052407	CG32407
FBgn0046214	vig2
FBgn0038114	CG11670
FBgn0031434	insv
FBgn0030016	Or7a
FBgn0038964	Nop56
FBgn0038586	CG7168
FBgn0036900	CG8765
FBgn0013811	Dhc62B
FBgn0034579	mRpL54
FBgn0034075	Asph
FBgn0085521	CG40813
FBgn0036499	CG7276
FBgn0031036	CG14220
FBgn0030793	Rai1
FBgn0263705	Myo10A
FBgn0260859	Bet3
FBgn0031740	CG7239
FBgn0039861	pasha
FBgn0024250	brk
FBgn0040099	lectin-28C
FBgn0032773	fon
FBgn0001083	fw
FBgn0011674	insc
FBgn0013348	TpnC41C
FBgn0062517	CG16984
FBgn0039478	Nep5
FBgn0029134	Prosbeta5
FBgn0038339	CG6118
FBgn0029094	asf1
FBgn0001227	Hsp67Ba
FBgn0031602	CG15431
FBgn0036157	CG7560
FBgn0039702	Vps16B
FBgn0266756	btsz
FBgn0263916	Ent2
FBgn0034065	Rrp42
FBgn0027932	Akap200
FBgn0031091	Phf7
FBgn0035548	CG15023
FBgn0027504	bsd
FBgn0031866	Nlg2
FBgn0036255	Atg12
FBgn0021995	Rs1
FBgn0036489	CG7011
FBgn0046704	Liprin-alpha
FBgn0035584	CG17030
FBgn0031287	CG4291
FBgn0001259	in
FBgn0033673	CG8298
FBgn0031357	mRpL48
FBgn0004861	ph-p
FBgn0001291	Jra
FBgn0000504	dsx
FBgn0035360	CG1246
FBgn0037202	Ssl1
FBgn0053094	Synd
FBgn0035802	Pura
FBgn0031260	Spp
FBgn0036319	Ent3
FBgn0029866	CG3842
FBgn0037941	CG12594
FBgn0033860	S-Lap5
FBgn0036237	viaf
FBgn0038463	CG3534
FBgn0035756	unc-13-4A
FBgn0034910	CG4763
FBgn0261067	LSm1
FBgn0037140	SLC22A
FBgn0030941	wgn
FBgn0262166	calypso
FBgn0003892	ptc
FBgn0063494	GstE6
FBgn0017482	T3dh
FBgn0038279	Sdr
FBgn0032670	CG5783
FBgn0050295	Ipk1
FBgn0003205	Ras85D
FBgn0037149	CG14561
FBgn0261975	CG42806
FBgn0039595	AstA-R2
FBgn0010341	Cdc42
FBgn0030791	CG9132
FBgn0030467	CG1764
FBgn0037539	CG10435
FBgn0031257	CG4133
FBgn0003231	ref(2)P
FBgn0051717	CG31717
FBgn0085330	CG34301
FBgn0032812	Hakai
FBgn0041707	7B2
FBgn0267390	dop
FBgn0028692	Rpn2
FBgn0029524	CG3176
FBgn0037330	mRpL44
FBgn0051849	Mgat3
FBgn0030521	CtsB
FBgn0259878	Fs
FBgn0028475	Hrd3
FBgn0259198	CG42302
FBgn0033507	CG12909
FBgn0031604	Elp3
FBgn0033902	eIF3m
FBgn0036745	CG7484
FBgn0086707	ncm
FBgn0031830	COX5B
FBgn0029987	CG15330
FBgn0035710	SP1173
FBgn0031307	MFS3
FBgn0039304	CG10425
FBgn0028479	Mtpalpha
FBgn0029930	CG12541
FBgn0036920	CG8004
FBgn0033092	Rpp25
FBgn0263647	CG43638
FBgn0002775	msl-3
FBgn0260985	RfC4
FBgn0031384	CG4238
FBgn0036298	nst
FBgn0262527	nsl1
FBgn0028669	Vha100-3
FBgn0003651	svp
FBgn0038582	CG7988
FBgn0037299	Vps37B
FBgn0039225	Ets96B
FBgn0039203	Jhbp12
FBgn0260870	CG42580
FBgn0262894	CG43249
FBgn0004892	sob
FBgn0015904	ara
FBgn0061492	loj
FBgn0286852	naz
FBgn0032514	CG9302
FBgn0043069	MESK4
FBgn0035253	Srrm234
FBgn0041194	Prat2
FBgn0264712	CG1172
FBgn0034708	Vps35
FBgn0030787	CG9609
FBgn0037581	CG7352
FBgn0039159	mRpS24
FBgn0261565	Lmpt
FBgn0039747	AdoR
FBgn0263911	COX8
FBgn0001253	ImpE1
FBgn0030744	CG9992
FBgn0031194	CG17598
FBgn0052554	CG32554
FBgn0024238	Fim
FBgn0023516	Pex5
FBgn0038195	CG3061
FBgn0085415	CG34386
FBgn0015011	AhcyL2
FBgn0036696	Pop5
FBgn0023023	CRMP
FBgn0037697	GstZ2
FBgn0029835	CG5921
FBgn0025456	CREG
FBgn0086370	sra
FBgn0039830	ATPsynC
FBgn0020307	dve
FBgn0004404	RpS14b
FBgn0039867	CstF50
FBgn0053988	Mid1
FBgn0014141	cher
FBgn0259789	zld
FBgn0020887	Su(z)12
FBgn0035805	CG7506
FBgn0028699	Rh50
FBgn0034485	CG11099
FBgn0051040	Cog7
FBgn0023170	RpL39
FBgn0034391	CG15080
FBgn0035155	RabX6
FBgn0266666	Sem1
FBgn0031739	CG14005
FBgn0024987	ssx
FBgn0036438	gdrd
FBgn0025582	eIF3e
FBgn0265262	Vha68-1
FBgn0042111	CG18766
FBgn0033051	Strica
FBgn0017558	Pdk
FBgn0262479	CG43069
FBgn0038166	CG9588
FBgn0031431	CG3515
FBgn0029157	ssh
FBgn0051365	CG31365
FBgn0085318	CG34289
FBgn0031645	CG3036
FBgn0085427	CG34398
FBgn0026874	CG13358
FBgn0000414	Dab
FBgn0037351	RpL13A
FBgn0261800	LanB1
FBgn0022740	HLH54F
FBgn0003175	px
FBgn0039213	atl
FBgn0036620	CG4842
FBgn0002732	E(spl)malpha-BFM
FBgn0015524	otp
FBgn0031816	Rchy1
FBgn0034478	CG10822
FBgn0005664	Crys
FBgn0262125	Sec23
FBgn0020369	Rpt6
FBgn0027091	CysRS
FBgn0013432	bcn92
FBgn0038213	CG9624
FBgn0083952	CG34116
FBgn0040899	CG17776
FBgn0045843	RacGAP84C
FBgn0000179	bi
FBgn0038865	cDIP
FBgn0038291	CG3984
FBgn0035541	CG15019
FBgn0002576	lz
FBgn0031372	CG7295
FBgn0030217	CG2124
FBgn0263397	Ih
FBgn0030695	PGRP-LE
FBgn0029833	MCTS1
FBgn0042138	Apt1
FBgn0015621	Clp
FBgn0086856	CG11555
FBgn0014877	Roe1
FBgn0003209	raw
FBgn0032856	CG16798
FBgn0263023	CG43318
FBgn0039559	NSD
FBgn0038519	Prx3
FBgn0026575	hang
FBgn0031579	CG15422
FBgn0030373	moon
FBgn0283467	PolD3
FBgn0052195	CG32195
FBgn0262937	Rabex-5
FBgn0261505	CR42653
FBgn0261683	B9d2
FBgn0261697	tctn
FBgn0039667	FipoQ
FBgn0037888	scpr-B
FBgn0261262	CG42613
FBgn0033246	ACC
FBgn0039849	CG11334
FBgn0030053	CG12081
FBgn0030853	ND-24
FBgn0265296	Dscam2
FBgn0001491	l(1)10Bb
FBgn0031286	CG3862
FBgn0022702	Cht2
FBgn0037935	CG6834
FBgn0015218	eIF4E1
FBgn0051163	SKIP
FBgn0032290	CG6443
FBgn0260860	Bet5
FBgn0027329	CCT6
FBgn0030872	Ucp4A
FBgn0031946	CG7164
FBgn0032702	CG10376
FBgn0051272	CG31272
FBgn0031606	CG15439
FBgn0031466	CG3119
FBgn0030786	mRpL22
FBgn0033690	EndoG
FBgn0260238	CG42512
FBgn0035039	Adck1
FBgn0260942	bond
FBgn0260386	mtg
FBgn0027088	GlyRS
FBgn0051199	CG31199
FBgn0039258	beta4GalT7
FBgn0004050	z
FBgn0266268	FeCH
FBgn0032882	Ns4
FBgn0002565	Lsp2
FBgn0010280	Taf4
FBgn0040336	Seipin
FBgn0035722	CG10075
FBgn0031270	CG13689
FBgn0002989	okr
FBgn0013767	Crz
FBgn0022935	D19A
FBgn0017566	ND-75
FBgn0001297	kay
FBgn0038145	Droj2
FBgn0052654	Sec16
FBgn0001104	Galphai
FBgn0051229	CG31229
FBgn0038603	PKD
FBgn0053056	CG33056
FBgn0053138	AGBE
FBgn0062442	Cisd2
FBgn0053208	Mical
FBgn0010395	Itgbn
FBgn0261239	Hr39
FBgn0036921	RhoGDI
FBgn0284082	CG46304
FBgn0039219	CG13630
FBgn0035640	mad2
FBgn0035866	Arl5
FBgn0004620	GluRIIA
FBgn0037252	CG14650
FBgn0036481	CG16959
FBgn0085387	shakB
FBgn0035612	frm
FBgn0035298	SCOT
FBgn0039501	TTLL6B
FBgn0083972	CG34136
FBgn0050372	Asap
FBgn0030752	CDC50
FBgn0032857	CG10947
FBgn0031707	CG14020
FBgn0000228	Nin
FBgn0035944	CG5021
FBgn0028482	bdl
FBgn0036563	CG13075
FBgn0260474	CG30002
FBgn0024994	Ugalt
FBgn0036876	CG9451
FBgn0264693	ens
FBgn0014388	sty
FBgn0001995	mRpL4
FBgn0035084	CG15861
FBgn0031454	HemK2
FBgn0031455	Snapin
FBgn0033340	CG13751
FBgn0016696	Pitslre
FBgn0051921	CG31921
FBgn0086675	fne
FBgn0032163	TbCMF46
FBgn0004589	Eig71Eb
FBgn0030925	Hayan
FBgn0032822	CG10466
FBgn0051864	Qtzl
FBgn0033216	CG1946
FBgn0264325	Atg6
FBgn0002945	nkd
FBgn0033443	CG1698
FBgn0030615	Cyp4s3
FBgn0030484	GstT4
FBgn0085376	CG34347
FBgn0022770	Peritrophin-A
FBgn0033687	CG8407
FBgn0033741	CG8545
FBgn0037602	SLIRP2
FBgn0000499	dsh
FBgn0035574	RhoGEF64C
FBgn0030007	alpha-PheRS
FBgn0288229	CG3164
FBgn0010287	Trf
FBgn0034572	CG9346
FBgn0027620	Acf
FBgn0039098	GILT3
FBgn0035227	Iml1
FBgn0040338	TfIIA-S-2
FBgn0034011	CG8160
FBgn0030096	Zpr1
FBgn0033400	CG2063
FBgn0083976	CG34140
FBgn0033351	AIMP1
FBgn0035993	Nf-YA
FBgn0260866	dnr1
FBgn0261986	RASSF8
FBgn0261108	Atg13
FBgn0260392	CG42518
FBgn0034877	levy
FBgn0032409	Ced-12
FBgn0028569	robl37BC
FBgn0035173	CG13907
FBgn0033138	Tsp42Eq
FBgn0051223	CG31223
FBgn0051191	CG31191
FBgn0086443	AsnRS
FBgn0034377	CG15071
FBgn0030816	CG16700
FBgn0038345	maca
FBgn0027951	MTA1-like
FBgn0261938	PolrMT
FBgn0030799	CG4872
FBgn0034468	Obp56a
FBgn0085474	CG34445
FBgn0037619	CG8159
FBgn0015270	Orc2
FBgn0051148	Gba1a
FBgn0037826	CG14689
FBgn0036010	Ir67a
FBgn0033802	CG17724
FBgn0039058	VhaAC39-2
FBgn0050156	CG30156
FBgn0033339	Sec31
FBgn0034387	Cyp12b2
FBgn0264493	rdx
FBgn0001125	Got2
FBgn0036118	Blos2
FBgn0030912	CG6023
FBgn0039441	TwdlN
FBgn0037976	Tk
FBgn0051832	CG31832
FBgn0263929	jvl
FBgn0028379	fan
FBgn0086698	frtz
FBgn0283510	Pal1
FBgn0039558	BCAS2
FBgn0043455	CG5986
FBgn0029502	Coq7
FBgn0261394	Prosalpha3
FBgn0005633	fln
FBgn0023489	Pph13
FBgn0028690	Rpn5
FBgn0000640	Fbp2
FBgn0036568	ATPsynbetaL
FBgn0037734	trbd
FBgn0004368	Ptp4E
FBgn0034511	GNBP-like3
FBgn0030465	CG15743
FBgn0040628	CAH16
FBgn0034053	Cyp4aa1
FBgn0029856	CG11700
FBgn0028991	seq
FBgn0040268	Top3alpha
FBgn0032819	CG10463
FBgn0286511	Pld
FBgn0033685	OSCP1
FBgn0038499	Brf
FBgn0000416	Sap-r
FBgn0035397	PAN3
FBgn0260499	qvr
FBgn0030431	CG4407
FBgn0031074	SkpE
FBgn0283468	slmb
FBgn0023143	Uba1
FBgn0038405	CG8927
FBgn0262031	CR42842
FBgn0045479	Gr64a
FBgn0038123	CG8508
FBgn0043806	CG32032
FBgn0039678	Obp99a
FBgn0034671	CG13494
FBgn0032030	Wdr82
FBgn0026315	Ugt35A1
FBgn0032660	elfless
FBgn0287234	slf
FBgn0263257	Cngl
FBgn0051036	CG31036
FBgn0035004	Pgam5-2
FBgn0035263	CG12035
FBgn0014380	RhoL
FBgn0032516	Ing5
FBgn0040235	c12.1
FBgn0028506	CG4455
FBgn0027601	pdgy
FBgn0023529	Grp170
FBgn0035146	CG13893
FBgn0034094	Tsf3
FBgn0035023	ITP
FBgn0037617	nom
FBgn0027654	jdp
FBgn0026438	Eaat2
FBgn0015300	Ssl
FBgn0027621	Pfrx
FBgn0038893	Archease
FBgn0036934	sNPF-R
FBgn0029715	CG11444
FBgn0050421	Usp15-31
FBgn0262599	SmydA-3
FBgn0051324	Cipc
FBgn0003943	Ubi-p63E
FBgn0034121	CG6262
FBgn0036168	CG7512
FBgn0039264	CG11786
FBgn0040973	CG16824
FBgn0015509	Cul1
FBgn0038460	CG18622
FBgn0085428	Nox
FBgn0035951	CG5068
FBgn0050104	NT5E-2
FBgn0031998	SLC5A11
FBgn0010516	wal
FBgn0031495	GABPI
FBgn0034973	CG13564
FBgn0261260	mgl
FBgn0004575	Syn
FBgn0003366	sev
FBgn0037518	CG2641
FBgn0039435	TwdlP
FBgn0050403	CG30403
FBgn0004380	Klp64D
FBgn0260004	Snmp1
FBgn0033943	CG12869
FBgn0036827	CG6843
FBgn0033079	Fmo-2
FBgn0015033	Cyp4d8
FBgn0039252	CG11771
FBgn0031764	CG9107
FBgn0051098	CG31098
FBgn0000581	E(Pc)
FBgn0019662	qm
FBgn0005536	Mbs
FBgn0001296	kar
FBgn0037608	mRpL19
FBgn0031851	Aatf
FBgn0029963	CG10920
FBgn0001263	inaD
FBgn0026319	Traf4
FBgn0033842	cbc
FBgn0036364	CG14109
FBgn0027794	Lrpprc2
FBgn0051469	Argp
FBgn0052506	tbc
FBgn0263036	CG43331
FBgn0038979	tHMG2
FBgn0019960	Mitofilin
FBgn0030327	FucT6
FBgn0034184	CG9646
FBgn0032597	Nubp1
FBgn0038552	Alg1
FBgn0038981	CG5346
FBgn0024182	waw
FBgn0023172	RhoGEF2
FBgn0265714	CG44521
FBgn0286071	AdamTS-A
FBgn0014427	CG11899
FBgn0039297	Jhbp7
FBgn0015756	RpL9
FBgn0017590	klg
FBgn0264738	CG43996
FBgn0016794	dos
FBgn0036147	Plod
FBgn0000052	Pfas
FBgn0036759	CG5577
FBgn0261808	cu
FBgn0025885	Inos
FBgn0039154	Npc2f
FBgn0037750	Whamy
FBgn0004956	upd1
FBgn0067861	Sdic1
FBgn0034035	Gmppa
FBgn0283652	Rpp30
FBgn0020653	Trxr1
FBgn0030882	Gss1
FBgn0052495	Gss2
FBgn0035830	CG8209
FBgn0015582	dare
FBgn0051687	CG31687
FBgn0038576	Arp5
FBgn0024956	Mat1
FBgn0039183	Dis3
FBgn0031470	CG18557
FBgn0034733	CG4752
FBgn0051050	CG31050
FBgn0030085	CG6999
FBgn0039045	Ctns
FBgn0030658	CG7872
FBgn0034181	CG8963
FBgn0038924	CG6028
FBgn0004587	B52
FBgn0038752	CG4462
FBgn0032161	CG4594
FBgn0029176	eEF1gamma
FBgn0038606	CG15803
FBgn0033437	CG12926
FBgn0030492	CG15754
FBgn0259986	nab
FBgn0030268	Klp10A
FBgn0003204	ras
FBgn0040333	brv3
FBgn0001942	eIF4A
FBgn0029906	xit
FBgn0039022	Nepl13
FBgn0037443	Dmtn
FBgn0038000	Rsbp15
FBgn0034354	GstE11
FBgn0052212	CG32212
FBgn0033848	CG13330
FBgn0032048	Dh31
FBgn0262537	CG43091
FBgn0250786	Chd1
FBgn0031208	CR11023
FBgn0025678	CaBP1
FBgn0034470	Obp56d
FBgn0027548	nito
FBgn0040382	CG5273
FBgn0034113	CG8060
FBgn0035016	CG4612
FBgn0041627	Ku80
FBgn0031869	CG18304
FBgn0027515	CG7115
FBgn0032213	CG5390
FBgn0042207	CG18530
FBgn0261873	sdt
FBgn0014010	Rab5
FBgn0033355	CG13748
FBgn0021750	SerRS-m
FBgn0030694	CG15602
FBgn0033665	Zip48C
FBgn0263346	smash
FBgn0037955	Kyat
FBgn0033191	CG1598
FBgn0000546	EcR
FBgn0264776	CG44014
FBgn0030177	CG2972
FBgn0028858	CG10839
FBgn0032820	fbp
FBgn0265413	CG44325
FBgn0031359	Rim2
FBgn0004363	porin
FBgn0032587	CG5953
FBgn0000405	CycB
FBgn0004606	zfh1
FBgn0035481	CG12605
FBgn0038541	TyrRII
FBgn0263755	Su(var)3-9
FBgn0033737	Nup54
FBgn0039169	Spps
FBgn0250874	ttm50
FBgn0037435	CG18048
FBgn0027588	GCS2alpha
FBgn0003963	ush
FBgn0000427	dec
FBgn0030071	CG12661
FBgn0030814	CG4955
FBgn0000617	Taf9
FBgn0259241	CG42339
FBgn0263197	Patronin
FBgn0035087	CG2765
FBgn0040070	Trx-2
FBgn0261244	inaE
FBgn0028402	Polr3E
FBgn0033369	CG8197
FBgn0023180	Orc6
FBgn0052177	Ndfip
FBgn0038680	Cyp12a5
FBgn0260779	GatA
FBgn0039198	CG5768
FBgn0039527	CG5639
FBgn0033129	Tsp42Eh
FBgn0030292	CG11752
FBgn0031155	CG15446
FBgn0014189	Hel25E
FBgn0000119	arr
FBgn0053196	dpy
FBgn0053923	CG33923
FBgn0085453	Mthfs
FBgn0037760	FBXO11
FBgn0020493	Dad
FBgn0033890	Ctf4
FBgn0025809	Paf-AHalpha
FBgn0032888	CheB38c
FBgn0034994	Ir60a
FBgn0037329	POLDIP2
FBgn0004381	Klp68D
FBgn0003654	sw
FBgn0035282	CNMa
FBgn0032256	RluA-2
FBgn0032646	mEFTs
FBgn0038859	Obp93a
FBgn0035197	CG9130
FBgn0037728	p23
FBgn0036020	Cyp40
FBgn0030364	Lsm12a
FBgn0033538	CG11883
FBgn0034274	CG10931
FBgn0030720	CG8939
FBgn0030665	CG15646
FBgn0038874	ETHR
FBgn0024288	Sox100B
FBgn0040064	yip2
FBgn0037607	CG8036
FBgn0026428	HDAC6
FBgn0040337	CG3021
FBgn0010356	Taf5
FBgn0028436	ECSIT
FBgn0261461	RhoGAP18B
FBgn0034753	CG2852
FBgn0032464	Vha68-3
FBgn0029849	Efr
FBgn0050051	Tmem18
FBgn0264491	how
FBgn0035475	CG10866
FBgn0051674	CG31674
FBgn0033063	CG14589
FBgn0040512	zetaCOP
FBgn0003997	hid
FBgn0039914	mav
FBgn0031103	CG12679
FBgn0041160	comm2
FBgn0039104	CG10252
FBgn0050065	CG30065
FBgn0004885	tok
FBgn0034689	CG2921
FBgn0035145	MED14
FBgn0037754	CG8500
FBgn0031379	CG7289
FBgn0004359	T48
FBgn0031633	Fnta
FBgn0030289	GCS1
FBgn0000577	en
FBgn0046302	CG10650
FBgn0047178	CG32147
FBgn0030802	DENR
FBgn0004449	Ten-m
FBgn0041342	Pcyt1
FBgn0027562	CG10345
FBgn0004429	LysP
FBgn0036365	cmb
FBgn0069242	eca
FBgn0038857	Bdbt
FBgn0037603	Sys1
FBgn0037016	CG13252
FBgn0011509	SrpRbeta
FBgn0034025	Pgant1
FBgn0002573	sens
FBgn0025612	CG3062
FBgn0264081	CG43750
FBgn0030304	Cyp4g15
FBgn0054056	CG34056
FBgn0029114	Tollo
FBgn0038156	side-IV
FBgn0042126	CG18788
FBgn0033827	CG17047
FBgn0003510	Sry-alpha
FBgn0022936	CycH
FBgn0039631	Sirt7
FBgn0039051	CG17109
FBgn0033158	CG12164
FBgn0083953	CG34117
FBgn0036490	Prx1
FBgn0261363	PPO3
FBgn0010774	Ref1
FBgn0034560	CAH15
FBgn0036975	CG5618
FBgn0031701	TotM
FBgn0000492	Dr
FBgn0051957	CG31957
FBgn0045064	bwa
FBgn0034722	Rtf1
FBgn0032109	CG17005
FBgn0032053	mRpL51
FBgn0037503	CG14598
FBgn0051125	CG31125
FBgn0261054	Sfp24Bc
FBgn0035295	Cnb
FBgn0030512	Nadsyn
FBgn0034727	mRpS29
FBgn0035518	CG15011
FBgn0031375	erm
FBgn0053182	Kdm4B
FBgn0037236	Skp2
FBgn0039004	Nup133
FBgn0024732	Drep1
FBgn0035246	CG13928
FBgn0034166	CG6472
FBgn0038391	GATAe
FBgn0013334	Sap47
FBgn0034010	CG8157
FBgn0052857	CG32857
FBgn0031515	CG9664
FBgn0039406	RpL34a
FBgn0266053	Patr-1
FBgn0031174	CG1486
FBgn0032259	CG6144
FBgn0284244	l(2)k05911
FBgn0033431	CG1827
FBgn0027090	GlnRS
FBgn0011824	CG4038
FBgn0039056	CenB1A
FBgn0016984	sktl
FBgn0263354	CG42784
FBgn0010300	brat
FBgn0032051	CG13097
FBgn0035064	TyrRS-m
FBgn0261556	CG42674
FBgn0052202	CG32202
FBgn0036039	Naa60
FBgn0037637	IscU
FBgn0029867	CG3847
FBgn0032067	LManIV
FBgn0031496	CG17258
FBgn0037978	KLHL18
FBgn0263084	HP1Lcsd
FBgn0002174	CG5504
FBgn0030028	Corp
FBgn0025643	CG3588
FBgn0004107	Cdk2
FBgn0005771	noc
FBgn0041775	tral
FBgn0032923	Pld3
FBgn0041186	Slbp
FBgn0022986	qkr58E-1
FBgn0032487	Ski6
FBgn0032666	CG5758
FBgn0038183	CG9286
FBgn0001137	grk
FBgn0015589	Apc
FBgn0287873	zip
FBgn0085390	Dgk
FBgn0032821	CdGAPr
FBgn0015277	Pi3K59F
FBgn0032377	CG14937
FBgn0050410	Rpi
FBgn0021800	Reph
FBgn0034371	Ntan1
FBgn0050271	CG30271
FBgn0037290	Jhbp1
FBgn0020764	Alas
FBgn0031099	CG17065
FBgn0035918	Cdc6
FBgn0037801	CG3999
FBgn0014395	tilB
FBgn0032104	aust
FBgn0033672	rho-7
FBgn0026702	Pop1
FBgn0261722	fwe
FBgn0032381	Mal-B1
FBgn0030640	CG6294
FBgn0038312	Zip88E
FBgn0261599	RpS29
FBgn0034904	CG15800
FBgn0031201	CG12446
FBgn0035233	Pex10
FBgn0262656	Myc
FBgn0261283	SREBP
FBgn0014903	CG14630
FBgn0039801	Npc2h
FBgn0037515	Sp7
FBgn0016119	ATPsynCF6
FBgn0250843	Prosalpha6
FBgn0004465	Su(P)
FBgn0026619	Taz
FBgn0270926	AsnS
FBgn0025724	beta'COP
FBgn0286788	Orc1
FBgn0026056	Rlip
FBgn0034443	cer
FBgn0004580	Cbp53E
FBgn0034659	CG4021
FBgn0031635	tank
FBgn0028563	sut1
FBgn0032434	CG5421
FBgn0011710	Septin1
FBgn0039054	Cow
FBgn0025674	CycK
FBgn0051249	CG31249
FBgn0038609	Nup43
FBgn0035777	CG8563
FBgn0283649	elgi
FBgn0034606	ASPP
FBgn0032331	CG14913
FBgn0033548	CG7637
FBgn0027496	epsilonCOP
FBgn0010473	tutl
FBgn0261276	Opa1
FBgn0035402	Usp5
FBgn0030116	CR17438
FBgn0052066	CG32066
FBgn0262601	SmB
FBgn0033785	Sans
FBgn0035044	CG3663
FBgn0042693	wrd
FBgn0028396	TotA
FBgn0028942	CG16852
FBgn0026878	CG4325
FBgn0035625	Blimp-1
FBgn0052712	CG32712
FBgn0001987	Gli
FBgn0261111	BHD
FBgn0020278	loco
FBgn0034275	CG5002
FBgn0025366	Ip259
FBgn0029870	Marf
FBgn0033793	CG3955
FBgn0243516	Vrp1
FBgn0286516	aqz
FBgn0033919	CG8547
FBgn0035924	CG6576
FBgn0039041	CG13838
FBgn0036110	Cpr67Fb
FBgn0042201	Nplp3
FBgn0004611	Plc21C
FBgn0032782	Rab9
FBgn0025641	DAAM
FBgn0051848	CG31848
FBgn0031281	Saf6
FBgn0025381	rush
FBgn0026252	msk
FBgn0037436	Hr83
FBgn0053505	U3-55K
FBgn0027655	htt
FBgn0053156	Nadk1b
FBgn0029785	RpL35
FBgn0033321	CG8738
FBgn0085405	CG34376
FBgn0038846	CG5697
FBgn0037028	CG3618
FBgn0035063	CG3594
FBgn0010105	comm
FBgn0037993	dpr15
